"Land Area","Ocean Area","Unit","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"Afghanistan","Inland waters","t","2050","F","2650","F","3250","F","4000","F","4780","F","5560","F","6360","F","7200","F","8050","F","9000","F","10000","F"
"Albania","Inland waters","t","2702","","2805","","2500","","2293","","1995","","2069","","2162","","2145","","2281","","2647","","4277",""
"Algeria","Inland waters","t","2770.132","F","2114.79","F","1639.384","F","2045.237","F","2277.419","F","1839.676","F","1460.434","F","959.66","","1006","F","1046","F","3063.6",""
"American Samoa","Inland waters","t","18","F","18","F","18","F","20","F","20","F","20","F","20","F","20","F","20","F","20","F","20","F"
"Angola","Inland waters","t","7690","F","6108","","10310","F","14310","F","18310","F","23057","F","29192","","39386","","18716","","24940","","30773",""
"Antigua and Barbuda","Inland waters","t","0","0","0","0","0","0","4","F","10","","11","","13","F","10","","10","F","10","F","10","F"
"Argentina","Inland waters","t","13711","","18608.95","","17876.35","","21123.25","","17186.42","","16065.95","","18568.91","","22497.65","","22515.285","","25599.52","","23391.71",""
"Argentina","Inland waters","no","4838","","10546","","6292","","22500","","24500","","19600","","23500","","21550","","15926","","14207","","2811",""
"Armenia","Inland waters","t","5701","","5859","F","5617","F","7095","F","9711","","15799","","18720","","23270","","20139","","17054","","17369",""
"Australia","Inland waters","t","2001.2","","2654.202","","2704.946","","2267.59","","2129.02","","2242.62","","2362.49","","2365.62","","2506.57","","2656.57","","2586.16",""
"Australia","Inland waters","no","28626","","20929","","30518","","32117","","43720","","31749","","30755","","34878","","32830","","48883","","38791",""
"Austria","Inland waters","t","2437","","2491","","2517","","3254.3","","3425.5","","3587","","3740.3","","3853.4","","3833.4","","4211.6","","4340.6",""
"Azerbaijan","Inland waters","t","2524","","2206","","2131","","1578","","1277.1","","1121","","1211","","1155","","1362","","1645","","2079",""
"Bahamas","Inland waters","t","0","0","0","0","1","","1","","1","","1","","1","","1","","1","","1","","0","."
"Bangladesh","Inland waters","t","1954386","","2163776","","2302367","","2433273","","2532401","","2659441","","2778380","","2903743","","3045887","","3284707","","3407371",""
"Bangladesh","Inland waters","no","0","-","0","-","0","-","0","-","0","-","0","-","430","","400","","600","","0",".","0","."
"Barbados","Inland waters","t","2","F","2","F","2","F","10.5","F","10.5","F","14.5","F","20.5","F","20.5","F","25.5","F","25.5","F","25.5","F"
"Belarus","Inland waters","t","15445","","16485","","17162","","17415","","16464","","14245","","11424","","9999.9","","11885","","11129.5","","12382.9",""
"Belgium","Inland waters","t","637","","1087","","1050","","384","","561","","496","F","498","F","365","F","327","F","358","F","394","F"
"Belize","Inland waters","t","1865","","1613","","658","","55","","63","","60","F","47","","50","F","55","F","60","F","60","F"
"Benin","Inland waters","t","30413","F","30558","F","30714","F","31505","","28706","","26827","","34416","","25229.66","","33222","","37944.66","","34014.137",""
"Bhutan","Inland waters","t","56","F","54","F","52","F","79","F","80.34","","72.8","","144","","156","","197","F","238","","238.62",""
"Bolivia (Plurinat.State)","Inland waters","t","7381","","8343","","7802","","7643","","7880","","8247","","8390","","9987.5","F","10250","F","10500","F","10500","F"
"Bolivia (Plurinat.State)","Inland waters","no","54588","","27885","","24192","","48612","","59087","","61500","","84970","","67606","","43492","","53940","","29734",""
"Bosnia and Herzegovina","Inland waters","t","7582","F","7660","F","7660","F","4950.95","","3789.3","","3064.5","","3477","","4576.6","","4690.4","","3883.9","","3765",""
"Botswana","Inland waters","t","86","","73","F","60","","234","","378","","431","","1168","","101","","53","","53","F","53","F"
"Botswana","Inland waters","no","374","","1626","","1500","","2000","","2800","","4000","","4500","","4440","","900","","3200","","1600",""
"Brazil","Inland waters","t","509156","","525806","","574111","","582544","","618200","","631546","","711927","F","708500","F","734500","F","738980","F","753380","F"
"Brazil","Inland waters","no","7024","","9116","","1106","","9040","","6615","","22341","","5197","","12719","","177","","11690","","0","-"
"Brunei Darussalam","Inland waters","t","4","","7","F","14","F","20","F","20","F","27.9","F","6.28","","12.04","","14.42","F","19","F","8.68",""
"Brunei Darussalam","Inland waters","no","0","-","0","-","0","-","0","-","5","","5","","0",".","0","-","0","-","0",".","0","."
"Bulgaria","Inland waters","t","5759","","7503.918","","8307.357","","6363.115","","6525.28","","10459.72","","8793.695","","10249.904","","11882.259","","12512.571","","13864.703",""
"Burkina Faso","Inland waters","t","11568","","12075","F","14800","F","16360","","20602","","20820","","21001","","21030","","22210","","25720","","27847",""
