MPI country name,FAO country name,Group of species (Name),Unit (Name),prod_2004,prod_2005,prod_2006,prod_2007,prod_2008,prod_2009,prod_2010,prod_2011,prod_2012,prod_2013,cons_2004,cons_2005,cons_2006,cons_2007,cons_2008,cons_2009,cons_2010,cons_2011,cons_2012,cons_2013
Afghanistan,Afghanistan,Freshwater & diadromous fish,Tonnes,1450,1450,1450,2050,2050,2050,2050,2050,2050,2050,1450,1450,1450,2050,2050,2050,2059,2050,2050,2050
Albania,Albania,Freshwater & diadromous fish,Tonnes,1858,2146,2125,2587,2497,2659,2416,1888,2175,2271,2062.25,2135.5,1995.23,2639.53,2607.19,2727.28,2434.6,1904.43,2275.6,2404.9
Algeria,Algeria,Freshwater & diadromous fish,Tonnes,571,353,263,354,2718,2091,1635,2038,2275,1839,476.56,306.56,110.4,168.86,2698.01,2299.11,1666.28,2080.71,13242.63,20458.74
Angola,Angola,Freshwater & diadromous fish,Tonnes,10092,10126,10656,24407,25306,15038,19310,19310,19390,19350,10323.39,10431.24,11219.62,25164.89,26519.44,16955.28,23972.54,24922.34,26407,26193.63
Armenia,Armenia,Freshwater & diadromous fish,Tonnes,218,226,403,3916,4572,5043,4601,5505,7271,11470,170,108,342.65,3879.33,4566.2,5098.2,4252.51,4369.04,5705.69,9763.58
Bangladesh,Bangladesh,Freshwater & diadromous fish,Tonnes,1716997,1819013,1919662,2020157,2051794,2240480,2330074,2560908,2657116,2821522,1713987.5,1810457.9,1912349.9,2015331.2,2044841.6,2237222,2337217.5,2563329.2,2665026.5,2831018.2
Barbados,Barbados,Freshwater & diadromous fish,Tonnes,0,0,2,2,2,2,2,10,10,10,189.77,323.12,260.58,238.91,248.5,169.98,237.82,228.92,269.69,211.93
Belize,Belize,Freshwater & diadromous fish,Tonnes,386,425,389,400,1865,1613,658,55,63,60,394.58,431.15,393.08,403.08,1867.65,1616.08,611.58,8.08,68.73,64.61
Benin,Benin,Freshwater & diadromous fish,Tonnes,18965,15061,22415,23234,22948,24717,25986,26241,24662,25305,20134.56,25134.78,28698.11,37357.43,41178,46456.58,50799.58,49274.56,25820.97,27240.97
Bhutan,Bhutan,Freshwater & diadromous fish,Tonnes,80,70,60,50,51,49,47,76,80,73,80,414,590,593,676,766,858,985,1451.7,1473
Bolivia (Plurinational State of),Bolivia (Plurinat.State),Freshwater & diadromous fish,Tonnes,5998,5940,5655,5436,6418,7343,7052,7476,7730,8247,6166.4,5945.4,5666.23,5443.4,6423.51,7373.11,7102.55,7517.54,7790.98,8340.27
Bosnia and Herzegovina,Bosnia and Herzegovina,Freshwater & diadromous fish,Tonnes,6587,7119,7656,7443,7582,7660,7660,4951,3789,3064,5569.11,5704.74,5654.47,5948.3,5870.22,5605.68,5521.33,2978.36,4084.07,4234.37
Brazil,Brazil,Freshwater & diadromous fish,Tonnes,419522,416942,436277,446408,536553,569976,634748,590155,640811,621002,438342,436376.16,456118.1,470316.5,571910.06,612889.1,675596,640021.6,763399.75,799880.1
Burkina Faso,Burkina Faso,Freshwater & diadromous fish,Tonnes,9005,9055,9700,10498,11498,12005,14820,15205,20502,20700,9006,8351.4,8045.91,7723.92,7842.88,7160.88,11284.31,12261.01,17582.46,18342.09
Burundi,Burundi,Freshwater & diadromous fish,Tonnes,13905,13450,13028,11359,18315,12665,17322,10716,12469,13397,13901,13442,13017.86,11358.4,18303,12663.19,17351.94,10889,12586.33,13541.98
Cambodia,Cambodia,Freshwater & diadromous fish,Tonnes,269500,348500,454200,428400,402950,437595,462320,513810,519460,613930,229519.14,301187.12,427978.88,407351.97,381225.84,413540.7,432373.34,487688.53,491660.12,514635.3
Cameroon,Cameroon,Freshwater & diadromous fish,Tonnes,65395,75402,75435,74926,75246,75546,75570,75571,75840,75840,65434.22,75435.52,75455.05,74948.88,75273.89,75579.31,75610.43,75613.51,75856.85,87202.51
Central African Republic,Central African Republic,Freshwater & diadromous fish,Tonnes,23125,25125,27140,29140,31140,33140,35140,35140,32140,30140,23129.11,25126.54,27140,29177.78,31140,33140,35140,35158.16,32140,30140
Chad,Chad,Freshwater & diadromous fish,Tonnes,74000,77000,79000,82000,85000,88000,91000,95000,100000,120000,74001.59,76985.6,79007.81,81546,84988.31,87938.88,90927.48,94916.51,99911.09,119904.85
China,China,Freshwater & diadromous fish,Tonnes,16468663,17464588,18321764,19172288,20076648,21195434,22340332,23517130,25056608,26557714,14446834,15524842,16730566,17471092,18241136,19307024,20644786,22073064,23217848,24789536
Colombia,Colombia,Freshwater & diadromous fish,Tonnes,70324,61291,65180,64915,70450,85204,88727,99080,102009,102598,74601.64,66385.52,72151.56,74725.55,76288.27,82784.42,84022.86,94594.16,148961.78,158189.44
Comoros,Comoros,Freshwater & diadromous fish,Tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,Congo,Freshwater & diadromous fish,Tonnes,30452,32639,31125,30339,29488,28484,30827,33473,38212,36268,32297.16,32680.28,31138.07,30405.3,29538.77,28682.19,30872.48,33571.88,38299.47,36385.74
Congo (Democratic Republic of the),"Congo, Dem. Rep. of the",Freshwater & diadromous fish,Tonnes,234737,233805,233558,232970,229970,226970,222970,219970,216869,226465,234929.22,233867.3,233738.33,233084.84,231155.67,229263.78,223830.89,220166.7,224119.52,234838.52
Côte d'Ivoire,Côte d'Ivoire,Freshwater & diadromous fish,Tonnes,6253,14523,7763,4969,6100,7339,8633,9818,10937,10542,6295.38,14561.46,7819.81,5010.3,6161.12,7522.73,8684.79,10009.06,10993.65,10615.59
Dominican Republic,Dominican Republic,Freshwater & diadromous fish,Tonnes,3101,1650,1823,1398,1634,453,363,2261,1550,1119,4774.68,2654.83,3363.24,2383.52,6435.18,3157.31,2411.23,3817.74,14127.12,12337.31
Ecuador,Ecuador,Freshwater & diadromous fish,Tonnes,19293,20282,20485,21111,22205,39185,49374,49776,41514,28372,16908.57,18002.19,16938.87,9674.43,13218.67,8874.06,23502.34,24023,15736.83,8208.54
Egypt,Egypt,Freshwater & diadromous fish,Tonnes,573899,574056,564104,575709,669227,706868,978583,1046238,1047161,1141957,574523.1,574592.3,566885.9,576695.94,670400.8,708198,982154.7,1048657,1048298.2,1142144.2
El Salvador,El Salvador,Freshwater & diadromous fish,Tonnes,3962,4002,4733,5968,7577,7159,6416,6456,6150,4196,4173.33,4129.39,4820.19,6044.23,7637.45,7216.76,6462.22,6499.56,5859.69,3362.08
Ethiopia,Ethiopia,Freshwater & diadromous fish,Tonnes,10030,9475,9915,13279,16795,17072,18083,24066,28990,38416,10028.08,9479.08,9141.04,11927.22,15829.44,15866.04,15993.81,22025.95,26755.86,36487.63
Gabon,Gabon,Freshwater & diadromous fish,Tonnes,8689,10156,9835,10241,10908,10810,10850,10880,10740,10740,8772.97,10241.6,9938.93,10320.8,10991.27,10887.98,10870.13,10975.82,10848.84,10865.63
Gambia,Gambia,Freshwater & diadromous fish,Tonnes,3586,3907,4505,4564,4171,4466,4659,4813,5005,4686,3585,3882,4501,4444.76,3570.98,4437.1,4276.32,4768.68,4926.25,4515.89
Ghana,Ghana,Freshwater & diadromous fish,Tonnes,81078,81703,90098,95716,96408,100673,104092,113607,121863,125786,81081.08,81415.3,90107.9,95758.67,96455.77,100684.45,104173.3,114649.94,122860.41,125810.98
Guatemala,Guatemala,Freshwater & diadromous fish,Tonnes,5035,5120,5225,5260,5360,5360,3210,7864,7819,8338,5128.66,4945.8,5469.67,5772.37,5670.03,5507.2,4226.74,8263.14,9185.74,8991.26
