Country,FAOSTAT group,Element,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,300,300,300,300,300,300,400,400,460,460,560,560,560,560,660,770,770,770,770,870,870,870,970,970,970,970,1170,1170,1170,1400,1400,1500,1500,1600,1600,1600,1550,1500,1500,1300,1250,1350,1350,1450,1450,1450,2050,2050,2650,3259,4000,4780,5560,6360,7200,8050,9000
Albania,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,1100,1000,1000,1000,1400,1400,1700,2000,2400,2700,2700,2700,2700,3000,3000,3000,3000,3000,3000,3000,3033,3377,3065,2723,3078,3196,2439,2838,2864,2167,978,1016,954,795,271.11,482.89,210.89,515.01,796.89,1019.91,1566.97,1668.21,1885.44,2062.25,2135.5,1995.23,2639.53,2607.19,2727.28,2422.6,2227.43,1917.6,1992.9,2143.05,2078.87,2043.84,1631.82
Algeria,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,5.71,0,1,0,0,0,0,61,102,204,219,257,339,361,83.89,85.33,183.78,285.11,751.22,201.97,250.89,439.86,801.33,685.67,756.67,635.33,313.08,476.56,306.56,110.4,168.86,2698.01,2298.11,1666.28,2097.71,13302.63,20518.74,13285.74,10266.82,9916.79,6841.71
American Samoa,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,18,18,18,18,18,20,20,20,20,20,20,20
Angola,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,5300,5500,5500,5500,5800,5800,6000,6000,6000,6000,6000,6000,6500,6500,7000,7000,7000,7000,7000,7500,7500,7500,7500,7500,7500,8000,8000,8000,8000,8000,7000,7000,7000,7000,6009.48,6030.94,6011.47,6074.93,6017.07,7034.83,8050.46,9078.47,10146.76,10323.39,10431.24,10219.62,22664.89,21500.45,9209.6,14115.28,19043.92,15960.25,20219.69,32559.01,40766.83,18860.68,25197.71
Antigua and Barbuda,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,8.57,20,0,0,17.36,0,0,0,0,0,21.54,23.08,0,0,0,4.97,32.97,0,0,109.24,85.52,16.82,112.66,100.53,106.92,78.96,81.29,97.96,101.88,64.87,66.19,71.46,116.95,79.78,86.85,96.87,93.61,112.94
Argentina,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,4800,3801,4702,8504,7505,5905,8408,6411,7315,4419,5723,6327,7631,10217,15110,5195,4793,9444,7763.08,7534.61,5397.54,4781,5193,7776,9965,9075,8285,10945,11101,10631,7446.22,9235.82,8322.05,9348.81,14436.99,15156.92,20698.59,24686.41,29344.14,33952.2,18890.35,20427.57,27533.61,569.4,2821.91,6146.11,6060.81,2732.56,4673.79,5498.68,6692.25,9534.87,8846.7,9736.26,14287.48,12300.47,13533.03
Armenia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450,4100,2603,1941,1230,1240,1075,1740,2005,2113,1032,858,170,108,341.11,3879.33,4566.2,5098.2,4252.51,4369.04,5705.69,9172.58,12828.22,14472.8,14876.7,12877.19
Aruba,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.38,43.08,49.23,58.46,56.92,56.92,33.85,47.69,0,0,0,8.57,7.25,12.01,0,3.33,0,7.78,5.56,6.67,4.44,3.33,4.44,3.33,6.67,1604.47,1554.02,1484.68,1885.65,1556.69,1285.26,1331.25,1495.63,2132.33
Australia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,7215.39,7061.54,8753.85,8807.69,8646.15,9723.08,8746.15,8384.61,8684.61,7823.08,7915.39,10061.54,9276.92,12822.39,8214.15,7216.77,12445.69,13583.85,9222.15,10997.08,14683.92,18275.31,10670.39,17169.62,14664.92,16470.85,18078.69,16672.07,20012.59,18351.82,17922.2,25702.69,20221.58,14668.37,20158.99,23509.84,20992.02,21566.5,22952.7,29129.01,31242.04,30706.21,32135.47,35991.84,37106.99,44530.65,45964.45,47592.68,46578.47,50436.38,55580.07,90233.94,96278.34,100665.14,95865.19,111701.18,100508.47
Austria,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,4400,4600,4700,4900,5500,5100,4500,4400,3800,3700,3300,3100,2800,2770,3127,3157,3157,4402,5081,5498,5561,5406,5893,5778,6209,5989,6305,8548.35,8617.41,8034.52,8474.33,9223.57,9127,10239.92,12354.01,12910.92,13149.08,14954.26,16124.79,15494.54,18811.79,15407.35,18684.68,23228.65,28786.26,25215.12,31742.84,31908.91,32447.39,32905.52,34873.94,34787.3,34543.57,37103.88,36782.92,36160.7,36489.72
Azerbaijan,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31963,22894,16619,10651.14,6296.46,3958.88,4793.48,18580.38,17702.5,11234.5,12159.78,8695.73,11947,9933.39,5711.2,3960.23,4130.61,5735.23,6248.81,1615.86,1436.87,4804.73,6041.57,4491.72,6157.03,6742.19
Bahamas,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,22,36,55,43,4,5,0,0,0,0,180.61,209.2,161.55,280.93,399.85,383.01,1543.02,397,518.04,390.02,419.65,431.86,281.51,316.25,318.75,313.57,396.61,583.74,672.22,617.72,606.03
Bahrain,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,102.75,60.84,34.38,41.37,63.84,146.26,102.44,167,215.15,147.33,297.13,568.19,429.39,726.74,510.12,983.96,3234.05,3732.8,4813.03,5870.07,5472.46
Bangladesh,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,380602,411863,411523,459583,519990,526198,526153,569960,569862,598014,647820,729015,729163,727860,542900,538801,530810,524660,524540,521450,522300,553180,580030,626751,632930,646494,651873,664509,668698.82,675596,727699,743771,773402,856255,926634,981782.22,1072415,1150704.11,1293254,1376081.37,1464793.79,1533767.76,1601427.09,1713987.54,1810457.86,1912349.94,2015331.3,2044841.58,2237222.06,2337217.57,2563328.3,2654929.45,2824340.43,2960307.9,3085922.1,3221491.3,3469706.15
Barbados,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.8,12.09,51.65,0,0,66.15,0,0,0,0,0,0,0,69.01,29.23,47.44,28.27,37.73,50.35,75.04,91.6,172.51,144.56,167.13,172.11,234.43,221.41,254.84,189.77,323.12,260.58,238.91,248.5,169.98,237.82,228.92,269.69,215.93,294.16,267.89,240.76,274.35
Belarus,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9922,10011,4538.21,5831.08,6664.43,4581,8940.75,9805.5,9108.28,8276.4,13898.59,12370.51,12425.05,14396.56,17258.45,25456.97,34026.22,38028.81,39455.65,30787.68,34467.65,33764.09,21463.42,20224.34,27600.92,12501.19
Belgium,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45936.64,40007.88,34043.31,42568.83,44511.38,45916.56,49645.64,54898.81,62118.11,59504.69,65959.07,69527.59,73248.9,73144.33,80602.28,77333.38,77302.75,78024.82
Belgium-Luxembourg,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,7784.61,7884.61,8600,9307.69,11246.15,8766.61,9284.61,9276.92,11193.41,8224.18,10370.33,11560.83,11719.33,11976.25,12510.47,15254.51,14244.99,16318.04,17213.58,17471.85,16347.07,16116.1,15881.39,15533.62,15200.05,16782.56,18655.34,17484.09,18223.88,19867.78,22119.56,21898.08,19981.67,27904.68,29552.17,27477.93,30583.79,31476.32,34814.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,26.54,28.08,26.54,40,13,2,2,1,4,4.54,10.23,11.77,5.62,2.54,2,3,2.54,15.54,288.54,139.08,3.08,1.54,3.08,6.15,9.01,9.01,394.58,431.15,393.08,403.08,1867.65,1616.08,611.58,8.08,68.73,64.61,44.12,15.24,94.88,89.16
Benin,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,14987.81,20677.08,21092.1,23800,21400,14700,29095.89,30000,29698.11,34198.11,32596.08,31296.08,30982.16,30792.16,31019.61,31789.34,31789.34,31675.75,31787.88,34200,34200,33993.94,31000,31400,31907,31439,22144,23664,22886,21070,19299.55,18400.46,22868,22721,27572.05,24148.05,22663,21154.82,21040.67,17232.63,20254.56,20012.81,22832.89,20134.56,25134.78,28698.11,37357.43,41178,46456.58,50799.58,49274.56,25820.97,27240.97,104555.85,78149.11,93980.28,79839.56
